City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,83.32,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
1,Periyanayakkanpalaiyam,IN,81.99,haze,11.15,76.9333,Bv Machines
3,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
16,Santa Paula,US,87.48,clear sky,34.3542,-119.0593,Santa Paula Inn
17,Port-Gentil,GA,76.59,overcast clouds,-0.7193,8.7815,Fengshui Residence
20,Dunyapur,PK,89.62,broken clouds,29.7995,71.7196,فدا لاج
28,Naze,JP,85.12,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
30,Bandarbeyla,SO,82.26,few clouds,9.4942,50.8122,JABIR HOTEL
33,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
36,Yilan,TW,89.56,overcast clouds,24.757,121.753,Dar Chen Hotel
37,Tagusao,PH,86.92,scattered clouds,9.1924,117.8141,Toledo
41,Haines Junction,CA,76.95,broken clouds,60.7522,-137.5108,Parkside Inn
51,Hay River,CA,80.58,few clouds,60.8156,-115.7999,Ptarmigan Inn
56,Sainte-Rose,GP,77.04,clear sky,16.3324,-61.6979,Villa - Duzer
60,Kihei,US,80.62,few clouds,20.785,-156.4656,Maui Sunset
62,Georgetown,MY,89.89,few clouds,5.4112,100.3354,Cititel Penang
64,Black River,JM,80.6,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
74,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
76,Hami,CN,80.44,clear sky,42.8,93.45,Laoyutang Resort
80,Tura,IN,79.97,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
85,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
87,Yellowknife,CA,76.28,few clouds,62.456,-114.3525,The Explorer Hotel
88,Hobyo,SO,77.25,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
89,Lorengau,PG,85.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
91,Hithadhoo,MV,81.59,broken clouds,-0.6,73.0833,Scoop Guest House
95,Maues,BR,76.62,overcast clouds,-3.3836,-57.7186,Hotel Miramar
99,Acapulco,MX,80.76,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
100,Simao,CN,80.04,clear sky,22.7886,100.9748,Changyu Hotel
104,Shubarkuduk,KZ,88.05,clear sky,49.1447,56.4872,Sirius
114,Buguruslan,RU,77.85,broken clouds,53.6554,52.442,Gostinitsa Russkaya Piramida
115,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
116,Ormara,PK,82.22,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
