City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,83.32,68,45,7.74,scattered clouds
1,Periyanayakkanpalaiyam,IN,11.15,76.9333,81.99,65,20,14.97,haze
2,Mataura,NZ,-46.1927,168.8643,44.47,91,100,6.73,light rain
3,San Patricio,US,28.017,-97.5169,84.88,74,1,13.15,clear sky
4,Nanortalik,GL,60.1432,-45.2371,45.7,93,100,7.67,moderate rain
5,Lompoc,US,34.6391,-120.4579,66.11,79,1,6.91,clear sky
6,Morondava,MG,-20.2833,44.2833,67.12,70,42,2.84,scattered clouds
7,Vuktyl,RU,63.8567,57.3094,60.58,85,31,4.9,scattered clouds
8,Vaini,TO,-21.2,-175.2,73.56,78,20,14.97,few clouds
9,Coquimbo,CL,-29.9533,-71.3436,51.53,100,90,12.66,fog
10,Arraial Do Cabo,BR,-22.9661,-42.0278,65.64,73,22,13.82,few clouds
11,Georgiyevskoye,RU,58.731,45.024,62.96,94,100,6.38,overcast clouds
12,Busselton,AU,-33.65,115.3333,58.05,69,100,9.55,overcast clouds
13,Bredasdorp,ZA,-34.5322,20.0403,55.27,94,100,3.44,overcast clouds
14,Garissa,KE,-0.4536,39.6401,70.75,81,55,13.13,broken clouds
15,Ribeira Grande,PT,38.5167,-28.7,72.72,95,24,11.34,few clouds
16,Santa Paula,US,34.3542,-119.0593,87.48,77,1,3.44,clear sky
17,Port-Gentil,GA,-0.7193,8.7815,76.59,78,100,11.7,overcast clouds
18,Narok,KE,-1.0783,35.8601,51.96,88,84,4.92,broken clouds
19,Sitka,US,57.0531,-135.33,62.49,72,75,0.0,broken clouds
20,Dunyapur,PK,29.7995,71.7196,89.62,42,83,13.87,broken clouds
21,Saskylakh,RU,71.9167,114.0833,81.12,33,8,9.46,clear sky
22,San Jeronimo,PE,-11.9472,-75.2829,45.12,80,59,1.97,broken clouds
23,Tiksi,RU,71.6872,128.8694,54.59,58,12,6.29,few clouds
24,Ushuaia,AR,-54.8,-68.3,40.66,75,0,5.75,clear sky
25,Wynyard,AU,-41.0,145.7167,53.2,84,53,12.03,broken clouds
26,Chuy,UY,-33.6971,-53.4616,50.97,94,88,6.13,overcast clouds
27,Kushima,JP,31.4583,131.2333,90.12,66,100,9.22,overcast clouds
28,Naze,JP,28.3667,129.4833,85.12,86,89,17.6,overcast clouds
29,Cape Town,ZA,-33.9258,18.4232,57.09,89,0,5.01,clear sky
30,Bandarbeyla,SO,9.4942,50.8122,82.26,62,23,30.11,few clouds
31,Ovalle,CL,-30.5983,-71.2003,63.91,40,0,2.17,clear sky
32,Eureka,US,40.8021,-124.1637,56.19,79,26,1.99,scattered clouds
33,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,11.5,scattered clouds
34,Namibe,AO,-15.1961,12.1522,66.15,87,4,1.81,clear sky
35,Barrow,US,71.2906,-156.7887,44.62,81,90,12.66,overcast clouds
36,Yilan,TW,24.757,121.753,89.56,74,99,3.83,overcast clouds
37,Tagusao,PH,9.1924,117.8141,86.92,70,32,18.9,scattered clouds
38,Cidreira,BR,-30.1811,-50.2056,53.33,94,3,4.97,clear sky
39,Flinders,AU,-34.5833,150.8552,67.17,62,5,4.0,clear sky
40,Ponta Do Sol,PT,32.6667,-17.1,72.23,80,2,4.7,clear sky
41,Haines Junction,CA,60.7522,-137.5108,76.95,31,65,5.75,broken clouds
42,Camacha,PT,33.0833,-16.3333,68.76,83,40,12.66,scattered clouds
43,East London,ZA,-33.0153,27.9116,61.74,67,75,9.22,light rain
44,Port Alfred,ZA,-33.5906,26.891,59.94,85,88,10.4,light rain
45,Maniitsoq,GL,65.4167,-52.9,48.33,76,100,2.59,overcast clouds
46,Baglan,AF,36.1307,68.7083,90.37,15,0,2.75,clear sky
47,Humaita,BR,-7.5061,-63.0208,72.66,48,25,3.33,scattered clouds
48,Hobart,AU,-42.8794,147.3294,57.06,57,75,4.0,broken clouds
49,Dayong,CN,25.0209,118.2898,91.08,66,99,4.43,light rain
50,Jishou,CN,28.3167,109.7167,96.39,48,0,3.0,clear sky
51,Hay River,CA,60.8156,-115.7999,80.58,47,20,4.61,few clouds
52,Torbay,CA,47.6666,-52.7314,59.29,93,75,14.97,broken clouds
